Area_sqft,Bedrooms,Bathrooms,Age_years,Location,House_Type,Price
2295,3,3,44,Downtown,Bungalow,927742.9998526288
4104,3,3,49,Coastal,Apartment,354426.0960153414
4563,3,3,40,Rural,Townhouse,166241.87052200822
2653,1,3,11,Downtown,Villa,1821996.578866626
2091,3,1,3,Coastal,Bungalow,381617.9609366784
4381,4,2,6,Downtown,Villa,1814606.0046274732
4257,4,3,9,Rural,Townhouse,212382.9895759815
2436,1,1,6,Suburb,Townhouse,614411.7257037673
4496,3,3,9,Downtown,Apartment,716787.635110216
3799,3,2,39,Rural,Bungalow,553843.5944963729
3952,3,1,31,Coastal,Apartment,1137723.9242552856
1498,5,2,32,Downtown,Townhouse,177490.14659468655
2960,2,2,41,Downtown,Villa,445543.0512561841
4897,5,1,12,Coastal,Apartment,854837.8796610447
1654,2,1,8,Suburb,Apartment,380527.39894534
4274,3,1,8,Coastal,Villa,1142232.4283616606
2507,3,1,28,Downtown,Apartment,462737.67963657127
3577,5,1,20,Coastal,Villa,568735.4846807492
2533,5,1,47,Rural,Bungalow,359079.8235980067
4310,2,1,7,Coastal,Villa,1646542.1317380092
1002,4,3,11,Downtown,Bungalow,594018.3712115389
4055,2,2,20,Coastal,Villa,2335197.6005660663
1566,5,1,16,Suburb,Townhouse,182893.23481620074
3127,5,3,4,Coastal,Townhouse,1371262.301883982
3731,1,3,6,Suburb,Bungalow,381580.5120684639
997,5,3,22,Rural,Bungalow,235860.9422115543
2730,1,2,26,Suburb,Townhouse,524082.9944961163
4382,4,1,3,Coastal,Bungalow,2523085.308490047
1408,2,3,41,Downtown,Villa,162112.4756781221
4072,2,2,42,Suburb,Villa,411743.86602917116
1947,1,2,14,Rural,Townhouse,231384.797314848
4197,2,2,11,Suburb,Apartment,526713.841934042
3311,5,3,18,Suburb,Villa,538442.3300859159
2594,3,1,12,Suburb,Bungalow,507511.2089955266
1459,1,3,23,Rural,Apartment,71502.48143177098
3611,2,3,12,Coastal,Apartment,707630.375842678
2169,1,1,13,Suburb,Villa,826102.8629374171
2786,1,1,25,Suburb,Villa,633731.0290914521
946,3,1,45,Downtown,Apartment,58564.98743684205
4019,5,2,19,Rural,Apartment,367216.45271079993
3711,1,1,46,Suburb,Townhouse,159967.32530258485
2534,2,3,36,Rural,Bungalow,520728.09722943435
2643,4,1,45,Suburb,Townhouse,158021.55305713543
1288,1,3,8,Coastal,Villa,708129.1521212874
3776,1,2,29,Coastal,Townhouse,1416188.6253881708
2759,3,3,32,Suburb,Townhouse,581408.1750564544
3185,5,3,44,Coastal,Townhouse,731461.9261284418
3719,4,1,18,Suburb,Townhouse,956850.6817138607
2602,2,1,6,Coastal,Bungalow,1590775.1839965764
4861,4,3,18,Downtown,Bungalow,2292309.7513420596
4169,2,1,19,Downtown,Apartment,1147661.7945802317
1062,5,2,22,Downtown,Villa,567447.9105230237
1423,2,2,37,Rural,Townhouse,151558.79883613915
1816,3,1,32,Rural,Apartment,183620.44429777324
4443,3,2,41,Downtown,Apartment,770509.0548594714
2849,3,1,3,Rural,Apartment,217485.54058450894
4523,3,3,28,Coastal,Bungalow,636626.6586075594
3908,4,3,10,Suburb,Townhouse,322464.59667477116
4890,5,2,35,Suburb,Townhouse,469893.37497394934
2856,2,1,29,Suburb,Villa,249794.48782804984
3970,2,1,15,Downtown,Townhouse,1489073.1102925022
2482,3,2,33,Rural,Townhouse,191748.53038175128
3055,3,3,7,Coastal,Apartment,1025779.2955188142
1954,1,2,12,Coastal,Villa,347904.12753469794
3991,5,3,49,Downtown,Townhouse,523568.12135270605
2496,4,1,30,Coastal,Bungalow,904298.2440074366
4791,2,3,21,Coastal,Townhouse,1387863.0862123305
2448,1,2,31,Coastal,Apartment,178487.7346870443
2245,1,1,24,Coastal,Bungalow,1015500.2678357573
4999,2,2,20,Rural,Apartment,757368.4006382688
4723,4,2,37,Coastal,Townhouse,746063.2273474048
1053,1,3,4,Suburb,Bungalow,210083.96954167323
3983,1,2,28,Downtown,Villa,2771524.0526549895
3357,5,3,44,Rural,Villa,513908.02585242817
898,4,1,20,Coastal,Bungalow,296365.23226257745
3000,1,3,24,Rural,Bungalow,654980.5623235743
3761,4,1,49,Coastal,Apartment,344986.5723046015
4577,2,3,32,Suburb,Bungalow,744078.979206846
3669,3,2,41,Downtown,Apartment,470751.26582246774
4034,1,3,36,Coastal,Townhouse,1158997.2079488148
4591,5,3,34,Coastal,Apartment,838252.1005271105
1756,2,1,36,Coastal,Bungalow,539285.4544842425
4867,4,2,2,Coastal,Bungalow,1265000.7729580444
960,2,3,15,Downtown,Townhouse,207200.0767989001
2100,1,2,34,Downtown,Bungalow,675435.575608433
4787,4,3,36,Suburb,Bungalow,1065006.0728316107
2327,3,3,6,Downtown,Villa,1322680.2738274697
2018,2,2,39,Coastal,Villa,217109.0539145843
3904,1,3,42,Suburb,Townhouse,729434.4614758532
3535,5,2,12,Suburb,Apartment,219279.8693896992
1754,4,3,3,Suburb,Villa,853451.3146069305
4246,2,1,45,Coastal,Apartment,215893.10909541143
1845,2,2,18,Rural,Bungalow,377218.8011011594
2493,3,3,40,Coastal,Villa,310075.1633616518
4236,3,3,21,Downtown,Townhouse,2097432.647541862
1362,5,1,15,Downtown,Townhouse,446633.65309228795
3285,5,2,33,Coastal,Townhouse,368461.63534327626
4154,1,3,35,Coastal,Villa,995443.1579056004
1025,1,1,26,Suburb,Apartment,70480.37164011625
1759,5,3,8,Coastal,Bungalow,359366.9882006728
3867,5,2,36,Suburb,Apartment,664199.0475514013
1615,4,3,48,Downtown,Apartment,245224.42774064135
3920,3,3,30,Suburb,Bungalow,1003366.6410790201
816,1,3,23,Coastal,Bungalow,295129.27815315704
2043,3,3,42,Downtown,Villa,856252.5299556185
3005,3,1,44,Rural,Villa,200401.88009735287
3324,5,1,14,Suburb,Villa,575789.355250562
1869,4,2,14,Downtown,Villa,1299800.0212915635
4244,2,1,2,Suburb,Villa,2112162.2681841343
3365,4,1,37,Downtown,Bungalow,717318.8408278277
1860,4,2,5,Downtown,Apartment,387077.0430723367
3127,3,1,38,Suburb,Villa,583027.9883025786
4220,4,1,45,Rural,Villa,893487.930234891
1101,1,2,41,Downtown,Apartment,141586.42748015525
1406,3,2,47,Downtown,Villa,381858.6155445834
3970,1,2,14,Downtown,Apartment,1636841.249123546
1499,2,3,39,Rural,Apartment,38853.10178713272
1939,3,3,25,Rural,Bungalow,111247.52881034161
990,2,2,20,Coastal,Townhouse,292215.4998798552
3100,3,2,2,Suburb,Bungalow,1237674.5710199657
1780,5,2,39,Rural,Townhouse,114652.92136271321
3775,4,3,6,Suburb,Townhouse,735450.8651868948
1984,5,3,17,Coastal,Townhouse,498299.1357078558
4127,2,1,25,Suburb,Villa,930915.2565448855
4194,4,1,28,Rural,Bungalow,695568.792547516
927,3,2,2,Suburb,Townhouse,188311.2246508368
2865,4,3,35,Rural,Apartment,218208.4877578615
2616,1,3,37,Suburb,Villa,496573.06813685043
1369,4,3,5,Rural,Bungalow,288707.799796694
2695,1,2,1,Rural,Townhouse,453551.4711279018
3533,4,1,40,Suburb,Apartment,524282.63727157674
4663,1,2,12,Coastal,Bungalow,648894.770568027
4814,2,1,36,Downtown,Bungalow,2202853.3325868254
3701,5,1,45,Coastal,Villa,1389484.66500592
2486,3,2,23,Suburb,Bungalow,360423.93480719865
3809,4,1,47,Coastal,Villa,897988.5041258656
954,5,1,31,Rural,Townhouse,97899.2666203649
3337,3,3,11,Downtown,Villa,1085324.3016278225
2209,3,1,10,Suburb,Apartment,288040.88581907644
4857,1,2,3,Suburb,Villa,576969.6055347432
1584,2,2,14,Suburb,Apartment,161060.55625546657
3975,2,1,16,Downtown,Villa,2778088.3913873592
3606,5,3,10,Rural,Bungalow,458005.28245330526
1337,2,3,29,Suburb,Townhouse,292036.7647994829
2641,4,1,10,Coastal,Apartment,624215.3458525392
3255,2,1,12,Suburb,Villa,1346333.5196618557
1324,5,2,30,Suburb,Villa,317992.7674111802
3750,2,1,41,Suburb,Villa,257406.63250878657
4931,4,3,1,Suburb,Bungalow,1590200.3296891537
4915,1,1,5,Rural,Bungalow,363460.6859384286
3168,5,2,20,Coastal,Apartment,596599.2765300472
4647,1,2,8,Rural,Apartment,847111.8064549116
3501,1,2,43,Coastal,Bungalow,437484.181318501
1771,1,2,12,Suburb,Apartment,223379.13127316363
1966,3,2,1,Downtown,Townhouse,1029856.3093030395
3574,3,1,20,Rural,Townhouse,699268.3913346599
2782,1,1,28,Downtown,Bungalow,1217492.546304826
1653,5,1,43,Rural,Apartment,80439.39486768554
4946,4,1,37,Suburb,Villa,1198520.7842524266
4536,4,2,47,Rural,Townhouse,283905.42928391247
4569,2,3,37,Suburb,Bungalow,981233.25877503
1374,5,1,12,Rural,Apartment,244577.84991790485
4061,3,3,37,Suburb,Bungalow,874805.2357840792
1948,1,1,49,Suburb,Villa,459939.8011659042
2515,2,1,49,Coastal,Townhouse,139691.94960220423
4654,4,3,44,Suburb,Bungalow,887647.2613748858
3291,3,2,28,Coastal,Bungalow,1350679.0744884878
3460,3,1,47,Suburb,Bungalow,187554.9677441218
3924,1,1,15,Downtown,Villa,2917962.1064857882
3851,4,1,6,Suburb,Bungalow,645639.3520996909
804,5,3,44,Downtown,Villa,321438.8704757877
1676,3,2,20,Downtown,Villa,1098486.3409997753
1791,1,3,14,Suburb,Villa,584788.107440078
4942,5,3,2,Downtown,Townhouse,895179.607331859
1435,4,2,9,Coastal,Townhouse,477432.98873444676
2493,3,3,37,Rural,Bungalow,331535.9771885651
2482,5,2,20,Suburb,Bungalow,803995.4242806723
919,5,1,26,Downtown,Townhouse,240258.0260925941
1630,5,2,29,Suburb,Apartment,148044.3224195809
4475,3,1,1,Coastal,Townhouse,1913582.3828304908
2169,3,3,35,Suburb,Villa,388657.48832712957
1540,2,3,6,Suburb,Townhouse,373590.38100595085
916,4,1,37,Downtown,Villa,403512.2660471044
3638,1,3,5,Coastal,Bungalow,2076717.355856882
1950,5,2,33,Rural,Apartment,186281.1927698233
2731,2,1,49,Rural,Bungalow,276568.26634566486
1812,1,3,14,Downtown,Villa,472669.0529731718
2464,2,1,12,Suburb,Villa,329903.0456024454
1881,3,2,42,Downtown,Villa,344063.25820817664
1312,5,2,20,Downtown,Apartment,185964.3097203857
3649,1,3,24,Downtown,Townhouse,1329639.984967588
1359,1,2,43,Suburb,Bungalow,270210.61967686936
4472,1,1,34,Coastal,Bungalow,1215540.7861068295
4143,1,2,25,Downtown,Townhouse,1810500.0387040675
4870,1,1,29,Suburb,Bungalow,1510754.382395063
2270,2,1,39,Coastal,Apartment,497833.2198139682
1380,5,2,31,Downtown,Bungalow,593813.2175014039
3094,3,3,47,Rural,Villa,400341.91965799883
3947,3,2,43,Coastal,Townhouse,679221.7857171542
2479,3,1,23,Downtown,Apartment,268085.24725703226
4306,3,1,44,Coastal,Townhouse,676452.3084557374
3544,2,2,38,Coastal,Apartment,856511.2532621056
4156,4,3,20,Coastal,Villa,2195053.311305904
4845,5,3,23,Coastal,Townhouse,751107.3947485274
2043,1,1,45,Coastal,Bungalow,425154.22608121403
3918,4,1,16,Coastal,Apartment,1179599.926311904
2941,3,3,42,Downtown,Townhouse,292349.6419655063
3859,4,2,8,Rural,Bungalow,597411.4473486001
3759,5,1,21,Suburb,Townhouse,942347.1615647743
3065,1,1,1,Coastal,Townhouse,857154.9531504735
3279,1,3,8,Suburb,Townhouse,284632.8613829116
2435,5,2,29,Downtown,Apartment,575472.6780755328
2557,5,3,32,Coastal,Bungalow,1020652.1848850636
2870,3,2,38,Rural,Villa,466503.67768082593
3649,1,2,5,Suburb,Apartment,369834.15673793014
4051,4,2,47,Coastal,Apartment,457541.7811855168
4530,2,1,22,Downtown,Apartment,1039002.6714481004
3289,2,3,47,Rural,Villa,451012.2957566703
2431,5,3,34,Suburb,Bungalow,570051.0980662213
3616,3,2,1,Suburb,Bungalow,439616.9294438776
1815,2,1,26,Coastal,Bungalow,808191.9888482316
2148,1,1,43,Rural,Townhouse,69370.88572470869
3887,5,3,10,Rural,Townhouse,468531.8817964446
3639,4,1,30,Rural,Townhouse,152641.31520816375
1135,5,1,18,Rural,Villa,186705.8267970051
1695,4,2,17,Downtown,Townhouse,589384.0555514651
4346,5,1,26,Rural,Villa,764274.5156285008
1651,5,2,8,Suburb,Bungalow,222219.78552159687
2487,5,3,47,Suburb,Townhouse,340037.1428434928
2731,4,1,40,Downtown,Townhouse,260832.94325835264
4546,4,3,49,Suburb,Apartment,525518.6689097408
3227,5,3,12,Suburb,Villa,1413644.1271170455
2368,2,1,27,Rural,Bungalow,269147.46813675825
4800,3,1,8,Suburb,Apartment,758940.9205617098
3538,3,3,25,Downtown,Apartment,700901.6375882068
4298,3,1,46,Rural,Bungalow,157292.3296730277
4713,4,2,4,Coastal,Apartment,966672.4942085884
1866,4,2,33,Rural,Villa,406342.4047905208
3244,2,1,1,Downtown,Villa,2119216.262282171
4907,3,3,19,Rural,Townhouse,301566.7248818617
4173,3,1,31,Rural,Apartment,530723.8494498517
4769,5,1,16,Downtown,Townhouse,1689658.190026103
3346,4,3,14,Rural,Apartment,527771.9121060977
1553,3,3,48,Downtown,Villa,522953.87797383
2882,2,2,5,Downtown,Villa,1729139.8746350005
3574,2,3,41,Coastal,Villa,467451.4000775
3696,3,2,26,Suburb,Apartment,255695.00645325799
4985,4,3,28,Suburb,Villa,1824614.7090569073
1575,2,1,2,Rural,Apartment,124075.44132748609
2425,5,2,6,Rural,Townhouse,604363.0542391534
3869,2,2,9,Coastal,Apartment,924991.3471691965
1217,1,2,33,Coastal,Townhouse,135893.6054289203
914,1,1,41,Coastal,Apartment,63290.54116793736
1416,4,1,25,Downtown,Townhouse,263149.36726832774
4774,3,1,48,Coastal,Villa,1821141.6032417684
4067,4,1,13,Coastal,Townhouse,1015181.034006955
1625,4,1,9,Rural,Villa,297784.0082238909
2316,4,2,13,Coastal,Villa,708124.9091626414
3946,4,1,31,Downtown,Townhouse,583791.9388263033
1212,5,2,41,Downtown,Apartment,221601.50631710523
1528,5,1,11,Rural,Apartment,86828.20950594802
4148,2,3,4,Coastal,Bungalow,2282263.705758083
3608,1,2,34,Coastal,Apartment,496385.8823204943
1475,4,3,38,Downtown,Bungalow,377112.68940605887
4265,2,2,46,Coastal,Apartment,560266.2930276908
3304,1,3,4,Coastal,Apartment,739758.4473644929
3767,3,1,38,Coastal,Villa,1814227.3284089558
3586,5,1,19,Suburb,Bungalow,813229.7281004002
1922,1,1,6,Rural,Apartment,102651.73870611803
4879,3,2,34,Suburb,Bungalow,971261.2809523486
2371,1,3,18,Rural,Villa,243599.68273164518
2943,5,1,13,Downtown,Villa,561066.1328583286
2487,5,3,41,Coastal,Bungalow,945770.276539565
4932,2,3,23,Rural,Villa,1212754.0576467642
4651,4,1,19,Suburb,Townhouse,1334650.149564569
4240,1,1,45,Coastal,Townhouse,733282.2176203597
4566,1,3,11,Downtown,Villa,2479535.1513124458
3126,3,1,1,Rural,Townhouse,279643.1279676125
3714,5,1,24,Rural,Apartment,235635.25083991094
4752,1,1,7,Rural,Bungalow,1270022.386610462
1395,5,2,25,Coastal,Apartment,213098.50238771905
1528,1,3,21,Suburb,Bungalow,457545.401691535
2165,2,3,15,Suburb,Villa,734167.2025455915
1498,4,2,1,Rural,Apartment,106428.50830024255
1195,1,3,12,Downtown,Villa,621293.8669169863
4971,5,1,7,Downtown,Villa,3344124.7390205255
3302,2,3,15,Suburb,Bungalow,479196.5906780434
2619,1,1,21,Downtown,Bungalow,1475730.5211997554
1517,3,2,19,Suburb,Bungalow,343784.4540281534
3582,4,1,29,Rural,Apartment,177416.71710447504
4377,1,3,25,Suburb,Townhouse,787530.1319976526
943,2,3,33,Suburb,Bungalow,277932.7508685193
3940,3,3,49,Rural,Bungalow,212469.28173199427
3738,2,2,32,Downtown,Apartment,1138840.682807109
4436,2,2,49,Suburb,Bungalow,364178.3539508942
4022,3,3,35,Suburb,Apartment,604569.9093744813
1967,2,1,44,Rural,Villa,338374.06944953016
3416,3,2,38,Downtown,Bungalow,769489.0365035728
1862,1,3,26,Suburb,Bungalow,279282.1353448559
2956,3,3,11,Rural,Villa,855724.5773954985
3782,3,2,35,Suburb,Villa,727561.7447789935
4094,4,2,8,Coastal,Villa,2305200.449000251
1956,3,2,46,Rural,Bungalow,110976.82881481398
1532,3,1,14,Downtown,Townhouse,784426.6415579048
1753,1,1,10,Downtown,Townhouse,818633.4214552352
3339,4,3,2,Downtown,Townhouse,2044316.5548797809
4124,5,2,46,Downtown,Bungalow,562008.4755223768
4101,1,1,9,Suburb,Villa,1308758.565520939
2342,1,2,3,Suburb,Bungalow,679001.381646547
1991,5,3,21,Downtown,Villa,740358.3440749304
3793,3,1,26,Downtown,Bungalow,1312434.9016742597
3481,2,1,8,Downtown,Bungalow,608696.0326042342
2017,4,1,48,Suburb,Villa,434511.10265203903
2340,2,3,2,Downtown,Townhouse,989823.4072743738
4036,5,2,6,Downtown,Villa,910665.84353421
3186,1,1,28,Coastal,Apartment,717386.731481252
4519,1,3,29,Coastal,Apartment,772728.8106637659
2188,4,2,26,Downtown,Villa,359249.9932009607
2656,1,3,25,Rural,Bungalow,641377.0682566912
2165,1,2,12,Downtown,Apartment,959510.3511058809
1299,4,3,5,Coastal,Apartment,316330.46815320686
2480,4,2,34,Rural,Bungalow,148506.07680781852
1310,5,1,48,Rural,Bungalow,180667.86570438163
2124,1,2,37,Downtown,Townhouse,536108.1355836781
1955,1,3,15,Coastal,Bungalow,484719.6272410151
2627,5,3,44,Coastal,Villa,680606.2282193057
3941,3,2,36,Rural,Villa,607866.3306479333
4286,3,1,15,Downtown,Townhouse,1598826.5949824732
2610,3,1,43,Suburb,Apartment,230346.7082123265
3723,5,2,48,Suburb,Apartment,371102.60021297977
3014,1,2,23,Coastal,Bungalow,1432134.6028076042
4986,5,3,6,Suburb,Villa,1193754.6655162591
1513,5,1,46,Coastal,Apartment,267852.43456606753
4402,3,2,44,Coastal,Townhouse,1218763.9671315341
4934,2,1,43,Coastal,Townhouse,857728.2220826681
4322,1,2,45,Suburb,Villa,685740.1693639847
2043,3,2,21,Coastal,Townhouse,594125.820368519
4509,2,1,23,Rural,Townhouse,631001.9599722113
1881,2,2,43,Downtown,Villa,883617.8482263322
1255,4,2,16,Downtown,Bungalow,505466.79689819034
1694,1,3,47,Coastal,Bungalow,590723.2883087095
2184,2,2,15,Downtown,Townhouse,310231.6310404188
2758,3,2,25,Suburb,Bungalow,184334.54856579195
3872,4,2,36,Suburb,Bungalow,776505.8864322049
2796,1,3,11,Downtown,Townhouse,736963.5815916059
1304,5,1,15,Suburb,Bungalow,191326.0235513468
2014,3,3,4,Downtown,Townhouse,586655.0049114771
2331,2,3,21,Downtown,Apartment,391390.2428793514
4240,2,1,13,Downtown,Villa,807907.1014462189
1623,3,3,22,Coastal,Villa,964945.8247627798
1728,2,1,19,Downtown,Bungalow,434869.4098832092
933,4,3,34,Coastal,Bungalow,319939.4073254243
2905,1,1,14,Downtown,Bungalow,1669647.9180905423
4427,4,2,4,Downtown,Villa,3909164.688732329
2652,2,3,48,Downtown,Apartment,162493.34779022294
4975,5,3,46,Suburb,Apartment,675221.7609172865
3733,1,3,27,Coastal,Villa,1321639.0469223124
4084,1,3,29,Coastal,Apartment,859844.2282151612
3611,3,2,47,Downtown,Villa,1335253.9593607874
2050,3,3,28,Downtown,Apartment,663189.0552661322
4312,5,2,35,Suburb,Townhouse,470930.12425369583
2056,1,2,8,Suburb,Townhouse,535524.7641534647
4176,5,2,16,Suburb,Villa,1136149.0135456915
4286,3,2,42,Coastal,Apartment,871500.7769265429
4384,3,1,36,Coastal,Bungalow,1837796.102685908
2196,1,1,30,Coastal,Apartment,232760.88996822867
4437,4,3,18,Downtown,Townhouse,2445365.666808038
4130,2,1,2,Coastal,Townhouse,594153.668121451
3503,3,1,49,Rural,Apartment,75729.84196820902
